USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
devashish        10078   0.0  0.1 410927984   8512   ??  Ss    3:08PM   0:00.75 /System/Library/PrivateFrameworks/FileProviderDaemon.framework/XPCServices/FPCKService.xpc/Contents/MacOS/FPCKService
devashish        10059   0.0  0.1 426950672   8128   ??  S     3:07PM   0:00.14 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
_reportsystemmemory 10046   0.0  0.0 426950064   3712   ??  Ss    3:04PM   0:00.05 /System/Library/CoreServices/ReportSystemMemory
devashish        10022   0.0  0.1 426926832   6944   ??  Ss    3:03PM   0:00.34 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
devashish        10017   0.0  0.2 426961136  13056   ??  S     3:03PM   0:00.62 /usr/libexec/mlhostd
devashish        10008   0.0  0.1 426949632   7360   ??  S     2:47PM   0:00.28 /System/Library/PrivateFrameworks/MobileTimer.framework/Executables/mobiletimerd
root             10005   0.0  0.0 426912640   2288   ??  Ss    2:47PM   0:00.04 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
devashish        10004   0.0  0.2 411190512  16064   ??  Ss    2:47PM   0:00.98 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
devashish         9979   0.0  0.1 426959824   9648   ??  Ss    2:44PM   0:00.02 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor
devashish         9978   0.0  0.1 426926464   8448   ??  Ss    2:44PM   0:00.02 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor
devashish         9977   0.0  0.1 426926320   8944   ??  Ss    2:44PM   0:00.03 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor
devashish         9976   0.0  0.1 426926320   8672   ??  Ss    2:44PM   0:00.05 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor
devashish         9975   0.0  0.1 426926832   6848   ??  Ss    2:44PM   0:00.16 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
devashish         9974   0.0  0.1 410796928  11824   ??  Ss    2:44PM   0:00.24 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
devashish         9934   0.0  0.1 426950960   5008   ??  S     2:43PM   0:01.92 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
_datadetectors    9894   0.0  0.0 426916144   2832   ??  Ss    2:39PM   0:00.11 /usr/libexec/DataDetectorsSourceAccess
root              9892   0.0  0.0 426916352   2368   ??  Ss    2:39PM   0:01.24 /usr/libexec/sysmond
root              9889   0.0  0.0 426917216   3584   ??  Ss    2:39PM   0:00.10 /usr/libexec/mmaintenanced
_accessoryupdater  9885   0.0  0.0 426916688   2208   ??  S     2:39PM   0:00.08 /usr/sbin/cfprefsd agent
_locationd        9884   0.0  0.0 426916688   2240   ??  S     2:39PM   0:00.09 /usr/sbin/cfprefsd agent
_cmiodalassistants  9883   0.0  0.0 426916688   2304   ??  S     2:39PM   0:00.08 /usr/sbin/cfprefsd agent
_softwareupdate   9882   0.0  0.0 426916688   2224   ??  S     2:39PM   0:00.08 /usr/sbin/cfprefsd agent
_neuralengine     9881   0.0  0.0 426916688   2304   ??  S     2:39PM   0:00.09 /usr/sbin/cfprefsd agent
_rmd              9880   0.0  0.0 426916688   2272   ??  S     2:39PM   0:00.08 /usr/sbin/cfprefsd agent
devashish         9872   0.0  0.1 426960192   9888   ??  S     2:39PM   0:00.19 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
_applepay         9871   0.0  0.0 426916688   2304   ??  S     2:39PM   0:00.08 /usr/sbin/cfprefsd agent
_modelmanagerd    9869   0.0  0.0 426916688   2240   ??  S     2:39PM   0:00.08 /usr/sbin/cfprefsd agent
_nsurlsessiond    9868   0.0  0.0 426916688   2224   ??  S     2:39PM   0:00.08 /usr/sbin/cfprefsd agent
_nsurlsessiond    9856   0.0  0.0 411146736   2976   ??  Ss    2:38PM   0:00.20 /System/Library/PrivateFrameworks/StreamingExtractor.framework/Versions/A/XPCServices/STExtractionService.privileged.xpc/Contents/MacOS/STExtractionService.privileged
_assetcache       9855   0.0  0.1 426952512   7360   ??  Ss    2:38PM   0:00.25 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
root              9837   0.0  0.1 426916704   5312   ??  Ss    2:38PM   0:00.05 /usr/libexec/microstackshot
devashish         9838   0.0  0.3 431512752  25136   ??  S     2:38PM   0:00.61 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
devashish         9820   0.0  0.2 426957872  13216   ??  S     2:38PM   0:00.65 /usr/libexec/milod
devashish         9816   0.0  0.2 426975248  16224   ??  S     2:38PM   0:01.01 /usr/libexec/transparencyd
root              9813   0.0  0.0 426916384   1184   ??  Ss    2:38PM   0:00.11 /usr/libexec/logd_helper
devashish         9810   0.0  0.2 426962864  16816   ??  S     2:38PM   0:00.75 /System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent
devashish         9804   0.0  0.2 426974928  13312   ??  S     2:38PM   0:00.23 /System/Library/CoreServices/iconservicesagent
devashish         9797   0.0  0.0 426916704   1968   ??  S     2:38PM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
devashish         9794   0.0  0.1 426951088  10416   ??  S     2:38PM   0:00.14 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
_iconservices     9793   0.0  0.0 426950464   3952   ??  Ss    2:38PM   0:00.06 /System/Library/CoreServices/iconservicesd
root              9786   0.0  0.1 426950944   4992   ??  Ss    2:38PM   0:01.59 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
root              9781   0.0  0.0 410621888   2432   ??  Ss    2:38PM   0:00.08 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
root              9782   0.0  0.1 426951632   5296   ??  Ss    2:38PM   0:00.17 /usr/libexec/ASPCarryLog
devashish         9776   0.0  0.1 426950064   7328   ??  S     2:38PM   0:00.51 /System/Library/PrivateFrameworks/ContinuousDialogManagerService.framework/assistant_cdmd
devashish         9766   0.0  0.1 426968464  11376   ??  S     2:38PM   0:00.21 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
devashish         9763   0.0  0.2 426985408  16848   ??  S     2:38PM   0:01.11 /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
devashish         9742   0.0  0.1 426950656   5216   ??  S     2:37PM   0:00.16 /usr/libexec/MTLAssetUpgraderD
devashish         9741   0.0  0.1 426958800  11360   ??  S     2:37PM   0:00.49 /usr/libexec/promotedcontentd
