--------------------------------------------------------------------------------
		Marvellous Infosystems Process Log

		Log file is created at : Sun Jun 15 20:58:58 2025
--------------------------------------------------------------------------------
 {'pid': 377, 'name': 'loginwindow', 'username': 'root', 'vms': 402489.78125} 
 {'pid': 90827, 'name': 'extensionkitservice', 'username': 'devashish', 'vms': 416920.828125} 


 {'pid': 92473, 'name': 'MobileDeviceUpdater', 'username': 'devashish', 'vms': 417110.921875} 


 {'pid': 93107, 'name': 'assistantd', 'username': 'devashish', 'vms': 416966.796875} 


 {'pid': 93354, 'name': 'syncdefaultsd', 'username': 'devashish', 'vms': 416959.9375} 


 {'pid': 93898, 'name': 'Siri', 'username': 'devashish', 'vms': 401611.5625} 


 {'pid': 93907, 'name': 'tccd', 'username': 'devashish', 'vms': 416954.1875} 


 {'pid': 93919, 'name': 'cloudd', 'username': 'devashish', 'vms': 416965.890625} 


 {'pid': 94190, 'name': 'SiriNCService', 'username': 'devashish', 'vms': 416962.46875} 


 {'pid': 94195, 'name': 'CloudTelemetryService', 'username': 'devashish', 'vms': 401586.984375} 


 {'pid': 96154, 'name': 'screencaptureui', 'username': 'devashish', 'vms': 401653.65625} 


 {'pid': 97600, 'name': 'contactsd', 'username': 'devashish', 'vms': 416953.609375} 


 {'pid': 97633, 'name': 'searchpartyuseragent', 'username': 'devashish', 'vms': 416973.65625} 


 {'pid': 97634, 'name': 'neagent', 'username': 'devashish', 'vms': 416952.765625} 


 {'pid': 97653, 'name': 'bird', 'username': 'devashish', 'vms': 416955.15625} 


 {'pid': 97690, 'name': 'SoftwareUpdateNotificationManager', 'username': 'devashish', 'vms': 417108.515625} 


 {'pid': 97691, 'name': 'audioaccessoryd', 'username': 'devashish', 'vms': 416947.0625} 


 {'pid': 97692, 'name': 'AssetCacheLocatorService', 'username': 'devashish', 'vms': 416945.828125} 


 {'pid': 97697, 'name': 'followupd', 'username': 'devashish', 'vms': 416910.546875} 


 {'pid': 97714, 'name': 'Keychain Circle Notification', 'username': 'devashish', 'vms': 416961.140625} 


 {'pid': 97715, 'name': 'cdpd', 'username': 'devashish', 'vms': 416943.375} 


 {'pid': 97731, 'name': 'CoreLocationAgent', 'username': 'devashish', 'vms': 417109.078125} 


 {'pid': 97739, 'name': 'triald', 'username': 'devashish', 'vms': 416946.78125} 


 {'pid': 97749, 'name': 'calaccessd', 'username': 'devashish', 'vms': 416961.484375} 


 {'pid': 97762, 'name': 'mediaanalysisd', 'username': 'devashish', 'vms': 417679.609375} 


 {'pid': 97768, 'name': 'knowledge-agent', 'username': 'devashish', 'vms': 416955.015625} 


 {'pid': 97776, 'name': 'UniversalControl', 'username': 'devashish', 'vms': 416958.3125} 


